== qwen36 Phase-2 engine | cache=256/layer bits=4 pilot=0 wide=1 hot=0 smooth=0.30 conf=0.92 ==
[tok] loaded 248044 pieces (max id 248043) from /mnt/ai-ssd/huggingface/hub/models--Kreuzzelg--qwen36-35b-a3b-colibri-i4/snapshots/9ccfbfa09bc55410a9c9102558ee63077d8a477d/tokenizer.json
[enc] prompt tokens: 15 | generating 16 new tokens
[meta] loaded: q_heads=16 kv_heads=2 head_dim=256 q_head_dim=512 k_head_dim=256 v_head_dim=256 o_in=4096 rotary_dim=64 n_experts=256 topk=8 inter=512 shared_inter=512 n_group=1 topk_group=1 attn_output_gate=1 n_active=10
[meta] DeltaNet: vheads=32 kheads=16 kdim=128 vdim=128 convk=4 conv_dim=8192
resident weights loaded in 10.8s | RSS after load: 9.23 GB
[dense-i8] 291 matrices quantized in 0.8 s, 7.2 GB f32 freed
[CUDA] device 0: Tesla P40, 25.6 GB VRAM, sm_61
[CUDA] device 1: Tesla P40, 25.6 GB VRAM, sm_61
[qtier] dev 0: 23.7 GB free, budget 22.7 GB (~15349 experts)
[qtier] dev 1: 23.7 GB free, budget 22.7 GB (~15349 experts)
[qtier] CUDA VRAM expert tier active: 2 device(s), 1.52 MB/expert
[gpu] MoE experts -> CUDA VRAM tier
[qwen36] int4 packed weights detected — unpacking to int8 in slot
[qtier] warmstart (parallel): all 10240 experts in RAM (int8 only for non-residents), 10240 in VRAM -- 45.7 s
[w4a8-groupwise-shadow] rows=7 width=2048 rel_l2=0.018849501 max_abs=0.0017174259 cosine=0.99982311 finite=1
[w4a8-groupwise-shadow] rows=1 width=2048 rel_l2=0.01855241 max_abs=0.00070814183 cosine=0.99983191 finite=1
[w4a8-groupwise-shadow] rows=5 width=2048 rel_l2=0.022362576 max_abs=0.002706339 cosine=0.99976253 finite=1
[w4a8-groupwise-shadow] rows=3 width=2048 rel_l2=0.018101605 max_abs=0.00090725534 cosine=0.99983624 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.025081858 max_abs=0.0027832799 cosine=0.99969071 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.019110705 max_abs=0.0010320731 cosine=0.99981955 finite=1
[w4a8-groupwise-shadow] rows=3 width=2048 rel_l2=0.022969532 max_abs=0.0014042733 cosine=0.99973639 finite=1
[w4a8-groupwise-shadow] rows=5 width=2048 rel_l2=0.020953089 max_abs=0.0020148829 cosine=0.99978649 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.024609309 max_abs=0.0010070736 cosine=0.99969757 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.023849083 max_abs=0.00087559968 cosine=0.99971591 finite=1
[w4a8-groupwise-shadow] rows=3 width=2048 rel_l2=0.022202977 max_abs=0.00092101516 cosine=0.99975618 finite=1
[w4a8-groupwise-shadow] rows=5 width=2048 rel_l2=0.021209141 max_abs=0.00077994866 cosine=0.99977589 finite=1
[w4a8-groupwise-shadow] rows=5 width=2048 rel_l2=0.027055101 max_abs=0.00145212 cosine=0.99963407 finite=1
[w4a8-groupwise-shadow] rows=3 width=2048 rel_l2=0.023732833 max_abs=0.00097999908 cosine=0.99972469 finite=1
[w4a8-groupwise-shadow] rows=5 width=2048 rel_l2=0.023860939 max_abs=0.00081037707 cosine=0.9997196 finite=1
[w4a8-groupwise-shadow] rows=3 width=2048 rel_l2=0.024281961 max_abs=0.0010943245 cosine=0.99970608 finite=1
[w4a8-groupwise-shadow] rows=7 width=2048 rel_l2=0.022652713 max_abs=0.0024253994 cosine=0.99974356 finite=1
[w4a8-groupwise-shadow] rows=1 width=2048 rel_l2=0.022455764 max_abs=0.00072162968 cosine=0.99974816 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.03127277 max_abs=0.0011189887 cosine=0.99955707 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.03163624 max_abs=0.00065095443 cosine=0.99952692 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.023422565 max_abs=0.0010219775 cosine=0.99972598 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.028149157 max_abs=0.0012657861 cosine=0.99960446 finite=1
[w4a8-groupwise-shadow] rows=5 width=2048 rel_l2=0.023932208 max_abs=0.0013254662 cosine=0.9997152 finite=1
[w4a8-groupwise-shadow] rows=3 width=2048 rel_l2=0.019933964 max_abs=0.00073086936 cosine=0.99980394 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.020478383 max_abs=0.0008561575 cosine=0.999791 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.027386911 max_abs=0.0028603785 cosine=0.99962656 finite=1
[w4a8-groupwise-shadow] rows=2 width=2048 rel_l2=0.059606716 max_abs=0.00051612966 cosine=0.99822315 finite=1
[w4a8-groupwise-shadow] rows=6 width=2048 rel_l2=0.03063932 max_abs=0.0013183961 cosine=0.99953413 finite=1
[w4a8-groupwise-shadow] rows=1 width=2048 rel_l2=0.046208874 max_abs=0.00068008126 cosine=0.99899149 finite=1
[w4a8-groupwise-shadow] rows=7 width=2048 rel_l2=0.035379726 max_abs=0.0012378783 cosine=0.99938789 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.030221367 max_abs=0.0053101107 cosine=0.9995434 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.027437507 max_abs=0.0041701719 cosine=0.99962592 finite=1
[w4a8-groupwise-shadow] rows=2 width=2048 rel_l2=0.021589203 max_abs=0.0013232885 cosine=0.99976857 finite=1
[w4a8-groupwise-shadow] rows=6 width=2048 rel_l2=0.030877819 max_abs=0.0073448792 cosine=0.99952397 finite=1
[w4a8-groupwise-shadow] rows=2 width=2048 rel_l2=0.016933018 max_abs=0.00077121146 cosine=0.9998568 finite=1
[w4a8-groupwise-shadow] rows=6 width=2048 rel_l2=0.027330272 max_abs=0.0035235435 cosine=0.99962658 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.020796179 max_abs=0.0015160218 cosine=0.99978412 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.023006767 max_abs=0.0019103736 cosine=0.99973577 finite=1
[w4a8-groupwise-shadow] rows=2 width=2048 rel_l2=0.024609907 max_abs=0.0011585318 cosine=0.99969789 finite=1
[w4a8-groupwise-shadow] rows=6 width=2048 rel_l2=0.029336331 max_abs=0.0055074766 cosine=0.9995699 finite=1
[w4a8-groupwise-shadow] rows=3 width=2048 rel_l2=0.021566924 max_abs=0.00096563174 cosine=0.99976936 finite=1
[w4a8-groupwise-shadow] rows=5 width=2048 rel_l2=0.027576405 max_abs=0.0028736517 cosine=0.99963196 finite=1
[w4a8-groupwise-shadow] rows=3 width=2048 rel_l2=0.021999204 max_abs=0.00076399464 cosine=0.9997583 finite=1
[w4a8-groupwise-shadow] rows=5 width=2048 rel_l2=0.02933024 max_abs=0.0093677659 cosine=0.99956982 finite=1
[w4a8-groupwise-shadow] rows=5 width=2048 rel_l2=0.024459184 max_abs=0.0013283342 cosine=0.99970093 finite=1
[w4a8-groupwise-shadow] rows=3 width=2048 rel_l2=0.020725543 max_abs=0.00089665032 cosine=0.9997852 finite=1
[w4a8-groupwise-shadow] rows=5 width=2048 rel_l2=0.022315655 max_abs=0.0014130743 cosine=0.9997524 finite=1
[w4a8-groupwise-shadow] rows=3 width=2048 rel_l2=0.027931323 max_abs=0.0031222561 cosine=0.9996164 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.031220731 max_abs=0.0012781657 cosine=0.99951866 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.026270592 max_abs=0.0013684034 cosine=0.99965487 finite=1
[w4a8-groupwise-shadow] rows=6 width=2048 rel_l2=0.024456582 max_abs=0.0011891034 cosine=0.99970143 finite=1
[w4a8-groupwise-shadow] rows=2 width=2048 rel_l2=0.027936748 max_abs=0.0020223744 cosine=0.99961148 finite=1
[w4a8-groupwise-shadow] rows=2 width=2048 rel_l2=0.031957659 max_abs=0.0063131535 cosine=0.99948979 finite=1
[w4a8-groupwise-shadow] rows=6 width=2048 rel_l2=0.024999556 max_abs=0.0021647336 cosine=0.99968837 finite=1
[w4a8-groupwise-shadow] rows=5 width=2048 rel_l2=0.021900866 max_abs=0.0010253126 cosine=0.99976023 finite=1
[w4a8-groupwise-shadow] rows=3 width=2048 rel_l2=0.023368846 max_abs=0.0014415644 cosine=0.99972927 finite=1
[w4a8-groupwise-shadow] rows=2 width=2048 rel_l2=0.033988415 max_abs=0.0010380513 cosine=0.99942741 finite=1
[w4a8-groupwise-shadow] rows=6 width=2048 rel_l2=0.028352184 max_abs=0.0014069141 cosine=0.9995999 finite=1
[w4a8-groupwise-shadow] rows=5 width=2048 rel_l2=0.025158765 max_abs=0.0014198779 cosine=0.99968417 finite=1
[w4a8-groupwise-shadow] rows=3 width=2048 rel_l2=0.024819586 max_abs=0.0010946086 cosine=0.99969209 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.021658696 max_abs=0.001498336 cosine=0.99976569 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.023836239 max_abs=0.0016971342 cosine=0.99971736 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.025268184 max_abs=0.0041736886 cosine=0.99968148 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.019799826 max_abs=0.0018265955 cosine=0.99980486 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.023505699 max_abs=0.0024625119 cosine=0.9997245 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.023886644 max_abs=0.0030218437 cosine=0.99971468 finite=1
[w4a8-groupwise-shadow] rows=3 width=2048 rel_l2=0.019631375 max_abs=0.001324133 cosine=0.9998076 finite=1
[w4a8-groupwise-shadow] rows=5 width=2048 rel_l2=0.022019632 max_abs=0.0010950528 cosine=0.99975882 finite=1
[w4a8-groupwise-shadow] rows=5 width=2048 rel_l2=0.026020525 max_abs=0.0036508749 cosine=0.99966812 finite=1
[w4a8-groupwise-shadow] rows=3 width=2048 rel_l2=0.027187708 max_abs=0.0036652572 cosine=0.99963097 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.022455449 max_abs=0.001353201 cosine=0.99974969 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.028252912 max_abs=0.0047302209 cosine=0.99961033 finite=1
[w4a8-groupwise-shadow] rows=3 width=2048 rel_l2=0.019647783 max_abs=0.0015615774 cosine=0.99980986 finite=1
[w4a8-groupwise-shadow] rows=5 width=2048 rel_l2=0.018175474 max_abs=0.0018232209 cosine=0.99983518 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.025512812 max_abs=0.0026711345 cosine=0.99967596 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.03094977 max_abs=0.0054671597 cosine=0.99952492 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.025630285 max_abs=0.0019874042 cosine=0.99967196 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.023335926 max_abs=0.0017096046 cosine=0.99972846 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.028934935 max_abs=0.0012084156 cosine=0.99958132 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.029732298 max_abs=0.0010589855 cosine=0.99955857 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.021738926 max_abs=0.00093770213 cosine=0.99976375 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.021450205 max_abs=0.0012072157 cosine=0.99977021 finite=1
[w4a8-groupwise-shadow] rows=6 width=2048 rel_l2=0.028094256 max_abs=0.004457185 cosine=0.99960774 finite=1
[w4a8-groupwise-shadow] rows=2 width=2048 rel_l2=0.022675658 max_abs=0.001868479 cosine=0.99974288 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.024332264 max_abs=0.0030175989 cosine=0.9997048 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.022167299 max_abs=0.0029697648 cosine=0.99975431 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.029602096 max_abs=0.00084986957 cosine=0.9995648 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.035584835 max_abs=0.0011113775 cosine=0.99936808 finite=1
[w4a8-groupwise-shadow] rows=2 width=2048 rel_l2=0.027694891 max_abs=0.0015615304 cosine=0.99961643 finite=1
[w4a8-groupwise-shadow] rows=6 width=2048 rel_l2=0.031115763 max_abs=0.00092982315 cosine=0.99951662 finite=1
[w4a8-groupwise-shadow] rows=2 width=2048 rel_l2=0.026610847 max_abs=0.0015057698 cosine=0.99964594 finite=1
[w4a8-groupwise-shadow] rows=6 width=2048 rel_l2=0.024575351 max_abs=0.0016854373 cosine=0.99969834 finite=1
[w4a8-groupwise-shadow] rows=1 width=2048 rel_l2=0.020771588 max_abs=0.00093841366 cosine=0.99978467 finite=1
[w4a8-groupwise-shadow] rows=7 width=2048 rel_l2=0.02125227 max_abs=0.0022104895 cosine=0.99977416 finite=1
[w4a8-groupwise-shadow] rows=2 width=2048 rel_l2=0.022903262 max_abs=0.0014356633 cosine=0.99973787 finite=1
[w4a8-groupwise-shadow] rows=6 width=2048 rel_l2=0.020566996 max_abs=0.0017629205 cosine=0.99978849 finite=1
[w4a8-groupwise-shadow] rows=5 width=2048 rel_l2=0.02286479 max_abs=0.0016402388 cosine=0.9997386 finite=1
[w4a8-groupwise-shadow] rows=3 width=2048 rel_l2=0.021305966 max_abs=0.0013545617 cosine=0.99977305 finite=1
[w4a8-groupwise-shadow] rows=3 width=2048 rel_l2=0.029942305 max_abs=0.0039902888 cosine=0.99956545 finite=1
[w4a8-groupwise-shadow] rows=5 width=2048 rel_l2=0.020675122 max_abs=0.0017489726 cosine=0.99978697 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.030890296 max_abs=0.010899473 cosine=0.99952466 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.01645827 max_abs=0.0011917502 cosine=0.99986472 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.02205682 max_abs=0.003241796 cosine=0.99975745 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.018776613 max_abs=0.0019097179 cosine=0.99982434 finite=1
[w4a8-groupwise-shadow] rows=5 width=2048 rel_l2=0.022518451 max_abs=0.0034080781 cosine=0.99974923 finite=1
[w4a8-groupwise-shadow] rows=3 width=2048 rel_l2=0.020938501 max_abs=0.0016500081 cosine=0.9997809 finite=1
[w4a8-groupwise-shadow] rows=5 width=2048 rel_l2=0.025605635 max_abs=0.0026134942 cosine=0.99967499 finite=1
[w4a8-groupwise-shadow] rows=3 width=2048 rel_l2=0.021162508 max_abs=0.0014400752 cosine=0.99977607 finite=1
[w4a8-groupwise-shadow] rows=6 width=2048 rel_l2=0.029840214 max_abs=0.0010316139 cosine=0.9995574 finite=1
