== qwen36 Phase-2 engine | cache=256/layer bits=4 pilot=0 wide=1 hot=0 smooth=0.30 conf=0.92 ==
[tok] loaded 248044 pieces (max id 248043) from /mnt/ai-ssd/huggingface/hub/models--Kreuzzelg--qwen36-35b-a3b-colibri-i4/snapshots/9ccfbfa09bc55410a9c9102558ee63077d8a477d/tokenizer.json
[enc] prompt tokens: 15 | generating 16 new tokens
[meta] loaded: q_heads=16 kv_heads=2 head_dim=256 q_head_dim=512 k_head_dim=256 v_head_dim=256 o_in=4096 rotary_dim=64 n_experts=256 topk=8 inter=512 shared_inter=512 n_group=1 topk_group=1 attn_output_gate=1 n_active=10
[meta] DeltaNet: vheads=32 kheads=16 kdim=128 vdim=128 convk=4 conv_dim=8192
resident weights loaded in 11.2s | RSS after load: 9.23 GB
[dense-i8] 291 matrices quantized in 0.8 s, 7.2 GB f32 freed
[CUDA] device 0: Tesla P40, 25.6 GB VRAM, sm_61
[CUDA] device 1: Tesla P40, 25.6 GB VRAM, sm_61
[qtier] dev 0: 23.7 GB free, budget 22.7 GB (~15349 experts)
[qtier] dev 1: 23.7 GB free, budget 22.7 GB (~15349 experts)
[qtier] CUDA VRAM expert tier active: 2 device(s), 1.52 MB/expert
[gpu] MoE experts -> CUDA VRAM tier
[qwen36] int4 packed weights detected — unpacking to int8 in slot
[qtier] warmstart (parallel): all 10240 experts in RAM (int8 only for non-residents), 10240 in VRAM -- 45.3 s
[w4a8-groupwise-outlier-shadow] rows=7 width=2048 rel_l2=0.018027415 max_abs=0.0018074736 cosine=0.99983752 finite=1
[w4a8-groupwise-outlier-shadow] rows=1 width=2048 rel_l2=0.018881152 max_abs=0.0008122297 cosine=0.99982817 finite=1
[w4a8-groupwise-outlier-shadow] rows=5 width=2048 rel_l2=0.021099451 max_abs=0.0024716213 cosine=0.99978549 finite=1
[w4a8-groupwise-outlier-shadow] rows=3 width=2048 rel_l2=0.017435844 max_abs=0.00077541223 cosine=0.99984802 finite=1
[w4a8-groupwise-outlier-shadow] rows=4 width=2048 rel_l2=0.024152303 max_abs=0.0026183873 cosine=0.9997122 finite=1
[w4a8-groupwise-outlier-shadow] rows=4 width=2048 rel_l2=0.01753495 max_abs=0.00078456197 cosine=0.99984696 finite=1
[w4a8-groupwise-outlier-shadow] rows=3 width=2048 rel_l2=0.022188435 max_abs=0.0013211984 cosine=0.99975383 finite=1
[w4a8-groupwise-outlier-shadow] rows=5 width=2048 rel_l2=0.020171176 max_abs=0.0019248575 cosine=0.99980025 finite=1
[w4a8-groupwise-outlier-shadow] rows=4 width=2048 rel_l2=0.024894302 max_abs=0.0013170263 cosine=0.99969079 finite=1
[w4a8-groupwise-outlier-shadow] rows=4 width=2048 rel_l2=0.023440329 max_abs=0.0009096642 cosine=0.99972524 finite=1
[w4a8-groupwise-outlier-shadow] rows=3 width=2048 rel_l2=0.021853157 max_abs=0.00081684627 cosine=0.99976349 finite=1
[w4a8-groupwise-outlier-shadow] rows=5 width=2048 rel_l2=0.020979033 max_abs=0.00079462444 cosine=0.99978091 finite=1
[w4a8-groupwise-outlier-shadow] rows=5 width=2048 rel_l2=0.025634848 max_abs=0.001543262 cosine=0.99967138 finite=1
[w4a8-groupwise-outlier-shadow] rows=3 width=2048 rel_l2=0.023377758 max_abs=0.00091513107 cosine=0.99973198 finite=1
[w4a8-groupwise-outlier-shadow] rows=5 width=2048 rel_l2=0.023223062 max_abs=0.00089351484 cosine=0.99973549 finite=1
[w4a8-groupwise-outlier-shadow] rows=3 width=2048 rel_l2=0.022488152 max_abs=0.00096215773 cosine=0.9997475 finite=1
[w4a8-groupwise-outlier-shadow] rows=7 width=2048 rel_l2=0.021196832 max_abs=0.0026436547 cosine=0.9997759 finite=1
[w4a8-groupwise-outlier-shadow] rows=1 width=2048 rel_l2=0.021877405 max_abs=0.00085146609 cosine=0.99976082 finite=1
[w4a8-groupwise-outlier-shadow] rows=4 width=2048 rel_l2=0.029579559 max_abs=0.0010089464 cosine=0.99959735 finite=1
[w4a8-groupwise-outlier-shadow] rows=4 width=2048 rel_l2=0.030478375 max_abs=0.00063064811 cosine=0.99954901 finite=1
[w4a8-groupwise-outlier-shadow] rows=4 width=2048 rel_l2=0.022032443 max_abs=0.0010435488 cosine=0.99975755 finite=1
[w4a8-groupwise-outlier-shadow] rows=4 width=2048 rel_l2=0.026571546 max_abs=0.0012553802 cosine=0.99964786 finite=1
[w4a8-groupwise-outlier-shadow] rows=5 width=2048 rel_l2=0.023133586 max_abs=0.0011795985 cosine=0.99973433 finite=1
[w4a8-groupwise-outlier-shadow] rows=3 width=2048 rel_l2=0.019637412 max_abs=0.00080251694 cosine=0.99981045 finite=1
[w4a8-groupwise-outlier-shadow] rows=4 width=2048 rel_l2=0.019961922 max_abs=0.00081833987 cosine=0.99980204 finite=1
[w4a8-groupwise-outlier-shadow] rows=4 width=2048 rel_l2=0.025868603 max_abs=0.0029124804 cosine=0.99966819 finite=1
[w4a8-groupwise-outlier-shadow] rows=2 width=2048 rel_l2=0.059108781 max_abs=0.00051654389 cosine=0.99825632 finite=1
[w4a8-groupwise-outlier-shadow] rows=6 width=2048 rel_l2=0.029979803 max_abs=0.0013690735 cosine=0.99955357 finite=1
[w4a8-groupwise-outlier-shadow] rows=1 width=2048 rel_l2=0.044740618 max_abs=0.00058416545 cosine=0.99905528 finite=1
[w4a8-groupwise-outlier-shadow] rows=7 width=2048 rel_l2=0.033961218 max_abs=0.0013277933 cosine=0.99943716 finite=1
[w4a8-groupwise-outlier-shadow] rows=4 width=2048 rel_l2=0.028780903 max_abs=0.0047931904 cosine=0.99958603 finite=1
[w4a8-groupwise-outlier-shadow] rows=4 width=2048 rel_l2=0.026334098 max_abs=0.0040189521 cosine=0.99965578 finite=1
[w4a8-groupwise-outlier-shadow] rows=2 width=2048 rel_l2=0.020944009 max_abs=0.0013946418 cosine=0.99978323 finite=1
[w4a8-groupwise-outlier-shadow] rows=6 width=2048 rel_l2=0.029911499 max_abs=0.0071427226 cosine=0.99955341 finite=1
[w4a8-groupwise-outlier-shadow] rows=2 width=2048 rel_l2=0.016548763 max_abs=0.00081688073 cosine=0.99986324 finite=1
[w4a8-groupwise-outlier-shadow] rows=6 width=2048 rel_l2=0.026066468 max_abs=0.0028410053 cosine=0.99966021 finite=1
[w4a8-groupwise-outlier-shadow] rows=4 width=2048 rel_l2=0.020497824 max_abs=0.0014162101 cosine=0.99979082 finite=1
