== qwen36 Phase-2 engine | cache=256/layer bits=4 pilot=0 wide=1 hot=0 smooth=0.30 conf=0.92 ==
[tok] loaded 248044 pieces (max id 248043) from /mnt/ai-ssd/huggingface/hub/models--Kreuzzelg--qwen36-35b-a3b-colibri-i4/snapshots/9ccfbfa09bc55410a9c9102558ee63077d8a477d/tokenizer.json
[enc] prompt tokens: 15 | generating 16 new tokens
[meta] loaded: q_heads=16 kv_heads=2 head_dim=256 q_head_dim=512 k_head_dim=256 v_head_dim=256 o_in=4096 rotary_dim=64 n_experts=256 topk=8 inter=512 shared_inter=512 n_group=1 topk_group=1 attn_output_gate=1 n_active=10
[meta] DeltaNet: vheads=32 kheads=16 kdim=128 vdim=128 convk=4 conv_dim=8192
resident weights loaded in 11.1s | RSS after load: 9.23 GB
[dense-i8] 291 matrices quantized in 0.8 s, 7.2 GB f32 freed
[CUDA] device 0: Tesla P40, 25.6 GB VRAM, sm_61
[CUDA] device 1: Tesla P40, 25.6 GB VRAM, sm_61
[qtier] dev 0: 23.7 GB free, budget 22.7 GB (~15349 experts)
[qtier] dev 1: 23.7 GB free, budget 22.7 GB (~15349 experts)
[qtier] CUDA VRAM expert tier active: 2 device(s), 1.52 MB/expert
[gpu] MoE experts -> CUDA VRAM tier
[qwen36] int4 packed weights detected — unpacking to int8 in slot
[qtier] warmstart (parallel): all 10240 experts in RAM (int8 only for non-residents), 10240 in VRAM -- 45.1 s
[w4a8-stage-input] rows=7 width=2048 rel_l2=0.0098351754 max_abs=0.00072136521 cosine=0.99995229 finite=1
[w4a8-stage-hidden] rows=7 width=2048 rel_l2=0.012289473 max_abs=0.0016215928 cosine=0.99992452 finite=1
[w4a8-stage-input] rows=1 width=2048 rel_l2=0.0143152 max_abs=0.00056583481 cosine=0.99990368 finite=1
[w4a8-stage-hidden] rows=1 width=2048 rel_l2=0.0087556316 max_abs=0.00028595049 cosine=0.99996167 finite=1
[w4a8-stage-input] rows=5 width=2048 rel_l2=0.010352834 max_abs=0.00090429932 cosine=0.99994879 finite=1
[w4a8-stage-hidden] rows=5 width=2048 rel_l2=0.015075408 max_abs=0.0017683581 cosine=0.99988661 finite=1
[w4a8-stage-input] rows=3 width=2048 rel_l2=0.013103862 max_abs=0.00054350123 cosine=0.99991501 finite=1
[w4a8-stage-hidden] rows=3 width=2048 rel_l2=0.0089540534 max_abs=0.00041664572 cosine=0.99995994 finite=1
[w4a8-stage-input] rows=4 width=2048 rel_l2=0.0093790788 max_abs=0.00071329251 cosine=0.99995834 finite=1
